x,y,h
405272.09,5015390.5,6.205809
405256.83,5015381.48,6.305398
405249.03,5015374.12,15.10002
405267.18,5015383.46,5.953818
405274.38,5015384.35,6.663788
405260.27,5015372.94,4.450047
405271.86,5015378.79,8.503564
405292.1,5015388.33,6.109822
405278.87,5015380.06,7.539756
405271.7,5015374.25,7.203437
405253.75,5015362.3,11.83079
405289.89,5015383.72,6.494084
405300.87,5015389.76,6.982077
405306.24,5015390.95,6.161844
405272.83,5015368.23,5.789517
405300.62,5015385.64,7.467715
405289.63,5015378.98,6.260558
405261.91,5015362.17,11.12573
405251.6,5015354.37,10.3462
405306.39,5015385.96,5.690258
405258.72,5015356.72,15.43448
405300.68,5015380.65,6.663147
405286.45,5015372.23,5.293142
405304.72,5015380.6,6.276877
405263.44,5015356.97,14.07417
405259.23,5015351.68,12.12218
405269.82,5015358.13,12.68159
405281.83,5015361.38,12.77449
405253.65,5015345.66,7.463982
405274.77,5015358.57,10.82677
405300.65,5015366.63,17.20011
405277.03,5015351,9.270354
405255.92,5015340.68,12.50959
405301.06,5015338.42,18.67241
405280.82,5015342.78,9.11452
405258.69,5015330.66,13.43218
405284.56,5015346.93,11.62625
405268.27,5015341.81,18.91573
405273.05,5015344.26,15.28155
405250.01,5015335.51,16.12941
405314.87,5015383.63,5.262883
405373.09,5015374.98,13.00601
405316.2,5015373.89,10.21552
405251.12,5015451.03,3.446054
405257.61,5015449.28,3.228253
405270.21,5015455.64,4.500052
405253.63,5015444.43,3.29355
405264.8,5015450.86,4.515353
405275.6,5015451.98,4.294549
405286.92,5015457.36,4.053648
405282.97,5015455.28,5.145898
405249.25,5015436.84,3.581943
405258.03,5015438.57,3.172902
405265.07,5015444.57,3.203821
405264.32,5015439.35,3.655016
405248.4,5015430.87,3.217946
405271.21,5015442.25,3.03807
405278.21,5015442.51,3.704725
405295.39,5015452.03,2.739492
405257.08,5015430.27,3.99827
405292.71,5015447.32,4.077904
405286.15,5015444.99,4.718877
405250.48,5015421.69,3.893827
405264.1,5015426.77,2.922541
405274.4,5015432.95,5.232973
405282.98,5015437.47,4.607181
405279.44,5015432.93,4.090588
405248.01,5015415.08,1.993805
405307.25,5015448.73,7.562955
405255.75,5015417.75,3.471329
405273.03,5015427.11,3.37502
405286.82,5015434.25,5.075574
405266.97,5015422.69,2.707883
405298.76,5015437.9,5.179901
405249.44,5015410.1,4.715816
405309.02,5015443.69,4.773121
405292.67,5015432.95,3.821329
405245.49,5015404.04,6.212529
405286.15,5015428.41,6.027474
405264.56,5015412.51,2.67361
405280.24,5015422.4,6.105031
405252.39,5015405.88,4.590281
405311.3,5015440.06,5.084166
405250.05,5015402.33,2.922673
405277.17,5015416.92,5.285604
405306.34,5015434.86,6.477953
405302.84,5015432.94,5.927864
405295.68,5015427.13,6.50886
405310.97,5015432.87,4.549813
405281,5015415.2,5.911854
405254.71,5015398.01,5.029085
405278.29,5015412.09,5.987848
405265.34,5015402.1,6.69101
405298.71,5015421.42,5.509558
405293.03,5015418.46,6.017182
405262.12,5015398.82,6.428015
405282.58,5015410.99,6.831674
405268.8,5015400.61,6.268979
405308.65,5015424.36,5.213281
405277.52,5015404.5,5.011659
405290.41,5015409.69,6.700586
405304.29,5015420.25,5.834553
405275.88,5015396.32,6.460743
405287.86,5015399.6,6.41639
405281.57,5015396.2,7.583899
405299.41,5015406.37,5.837481
405295.64,5015400.72,2.547917
405305.76,5015405.97,6.884674
405294.4,5015393.89,5.392778
405305.73,5015400.94,8.000222
405299.83,5015395.04,6.301049
405306.46,5015396.08,6.830329
405314.55,5015443.21,4.247915
405318.92,5015434.45,3.804346
405312.14,5015426.23,6.404327
405319.48,5015424.78,4.792371
405311.49,5015417,2.874959
405333.17,5015427.1,12.78381
405375.62,5015441.64,12.36404
405311.49,5015393.95,5.09141
405351.59,5015407.67,13.31157
405399.85,5015258.01,12.85657
405389.6,5015243.29,9.938596
405427.31,5015258.23,14.7881
405392.68,5015238.2,13.34712
405410.47,5015243.04,14.87218
405387.89,5015229.9,11.40405
405394.16,5015229.01,6.460059
405414.21,5015240.99,14.1555
405427.82,5015248.6,12.93139
405386.24,5015219.35,11.72181
405411.44,5015229.5,0.9052905
405399.85,5015220.33,6.463962
405393.7,5015217.36,6.045458
405385.61,5015211.82,15.10476
405433.36,5015195.61,15.6884
405433.82,5015201.65,11.80946
405439.35,5015220.47,1.312676
405396.97,5015204.78,12.81903
405435.78,5015229.64,0.940921
405385.16,5015204.28,17.62112
405396.1,5015212.4,8.813242
405433.99,5015239.47,1.280671
405447.41,5015260.04,14.08804
405443.91,5015252.52,12.31657
405444.26,5015203.85,0.7760431
405441.71,5015209.41,0.8800702
405441.26,5015214.66,0.9320728
405462.37,5015250.09,8.621972
405454.14,5015246.75,12.36012
405449.51,5015246.63,12.30246
405461.51,5015256.71,8.962061
405457.82,5015253.63,9.117573
405413,5015319.87,7.968055
405409.89,5015314.71,8.734973
405403.69,5015297.73,11.8743
405418.19,5015304.23,7.23184
405417.11,5015297.58,10.64957
405437.51,5015309.21,12.18583
405434.08,5015306.73,10.18492
405435.51,5015301.23,13.40774
405427.11,5015293.19,12.06334
405439.83,5015300.21,9.011966
405423.35,5015288.43,6.78317
405419.27,5015286.21,10.31581
405435.41,5015295.41,14.09668
405431.59,5015290.5,11.61025
405418.98,5015282.13,13.19279
405412.96,5015276.51,7.646345
405405.61,5015268.81,7.350618
405439.96,5015288.46,8.707166
405424.44,5015275.79,8.110239
405436.12,5015279.27,8.616355
405431.18,5015276.46,10.27117
405421.16,5015269.57,6.560223
405407.11,5015262.75,9.412746
405424.25,5015265.87,16.12066
405431.29,5015270.28,9.86057
405429.55,5015263.5,13.21382
405440.2,5015269.13,15.51899
405442.33,5015320.28,15.01892
405453.79,5015316.37,12.73672
405469.81,5015305.01,16.73576
405478.07,5015298.56,12.30223
405445.13,5015274.58,11.12327
405453.87,5015279.46,10.28596
405481.43,5015292.52,10.24516
405457.62,5015274.87,13.15457
405470.8,5015282.52,10.46019
405478.52,5015286.12,5.447094
405484.65,5015288.15,8.831033
405443.51,5015263.01,11.83003
405495.3,5015294.46,13.52062
405447.73,5015263.98,15.05427
405493.82,5015285.3,0.390191
405487.08,5015281.24,0.6336273
405464.8,5015264.2,13.55505
405412,5015391.22,15.03858
405390.97,5015361.9,15.75488
405387,5015355.69,16.32582
405398.43,5015359.52,8.175572
405403.79,5015359.55,9.137016
405383.97,5015341.47,9.979281
405389.56,5015336.8,8.522165
405406.33,5015342.57,8.025139
405414.6,5015342.01,13.849
405392.25,5015327.68,14.43374
405413.5,5015333.14,11.58578
405424.29,5015339.03,14.04176
405468.14,5015355.59,11.13294
405472.83,5015352.05,11.57075
405472.65,5015344.5,14.34745
405470.84,5015327.69,14.10236
405477.09,5015356.17,14.97575
405448.27,5015378.39,15.41617
405468.16,5015384.88,15.9666
405480.44,5015378.86,11.21827
405497.63,5015359.15,17.17613
405387.44,5015433.83,11.87332
405389.35,5015422.1,9.653311
405411.3,5015428.38,15.48923
405394.22,5015406.14,10.33898
405389.19,5015396.38,7.292553
405393.34,5015395.79,8.363649
405482.82,5015454.51,12.29561
405465.43,5015436.8,14.88142
405486.95,5015439.91,10.76283
405494.47,5015443.24,12.93341
405474.4,5015430.3,13.58349
405497.92,5015434.71,3.400183
405490.66,5015430.43,5.934984
405495.02,5015427.59,7.567435
405141.6,5015499.52,2.03907
405148.5,5015499.34,0.2644446
405133.13,5015489.73,0.7140411
405130.83,5015481.14,0.2542566
405178.81,5015489.7,0.2857727
405174.77,5015499.27,0.3131116
405205,5015484.76,0.6215308
405200.34,5015483.8,0.3731818
405202.4,5015498.21,0.3298462
405187.02,5015496.38,0.3256274
405280.56,5015496.16,2.769073
405278.01,5015489.94,2.892271
405283.15,5015486.88,3.326866
405287.45,5015481.29,9.347672
405286.6,5015476.21,3.217507
405265.42,5015464.18,3.725183
405276.13,5015468.51,3.744835
405280.75,5015467.48,3.75229
405293.13,5015474.4,9.89988
405277.18,5015462.28,2.747661
405284.69,5015466.39,2.760955
405273.19,5015497.01,8.013501
405499.01,5015459.63,16.55194
405499.07,5015467.03,20.56618
405486.78,5015459.12,4.374563
405498.07,5015471.67,15.42659
405473.05,5015459.85,10.42866
405461.55,5015461.21,16.01714
405488.59,5015475.71,5.521469
405477.47,5015470.94,2.357496
405484.43,5015478.92,3.257606
405460.19,5015464.96,14.91813
405472.26,5015478.8,9.148853
405485.06,5015492.13,13.39472
405459.41,5015497.55,23.63977
405200.26,5015424.86,22.42868
405203.5,5015419.13,20.45136
405209.05,5015424.29,19.51627
405208.4,5015413.49,18.51195
405217.03,5015409.5,13.31662
405215.62,5015401.06,18.61453
405221.77,5015396.59,15.2379
405221.57,5015388.64,20.03233
405226.76,5015371.24,19.99207
405231.09,5015373.34,20.27217
405348.85,5015433.75,15.84785
405232.27,5015359.92,18.80435
405344.14,5015424.3,16.67922
405238.8,5015355.35,14.13341
405360.74,5015424.36,17.34832
405352.82,5015420.02,18.41185
405370.48,5015429.59,17.51447
405374.74,5015430.48,13.98207
405236.52,5015344.07,20.28415
405373.72,5015422.06,17.05596
405236.43,5015337.13,20.36473
405375.59,5015417.27,16.89132
405245.08,5015339.89,18.11682
405289.61,5015365.25,15.15299
405265.97,5015348.79,18.25868
405295.76,5015364.29,23.60877
